"","Age","variable","value"
"510","45 to 49 years","X.100.000.and.over",2452
"511","50 to 54 years","X.100.000.and.over",2898
"512","55 to 59 years","X.100.000.and.over",2463
"513","60 to 64 years","X.100.000.and.over",1987
"514","65 to 69 years","X.100.000.and.over",1353
"515","70 to 74 years","X.100.000.and.over",770
"516","75 years and over","X.100.000.and.over",743
"517","15 to 24 years","Median.income",10420
"518","25 to 29 years","Median.income",29127
"519","30 to 34 years","Median.income",34277
"520","35 to 39 years","Median.income",37223
"521","40 to 44 years","Median.income",40102
"522","45 to 49 years","Median.income",40311
"523","50 to 54 years","Median.income",39167
"524","55 to 59 years","Median.income",36545
"525","60 to 64 years","Median.income",31744
"526","65 to 69 years","Median.income",26887
"527","70 to 74 years","Median.income",23039
"528","75 years and over","Median.income",19209
"529","15 to 24 years","Mean.income",15734
"530","25 to 29 years","Mean.income",35501
"531","30 to 34 years","Mean.income",43609
"532","35 to 39 years","Mean.income",51611
"533","40 to 44 years","Mean.income",54307
"534","45 to 49 years","Mean.income",55131
"535","50 to 54 years","Mean.income",56214
"536","55 to 59 years","Mean.income",51922
"537","60 to 64 years","Mean.income",47985
"538","65 to 69 years","Mean.income",43103
"539","70 to 74 years","Mean.income",37304
"540","75 years and over","Mean.income",29726
"541","15 to 24 years","Gini.ratio",0.558
"542","25 to 29 years","Gini.ratio",0.431
"543","30 to 34 years","Gini.ratio",0.452
"544","35 to 39 years","Gini.ratio",0.484
"545","40 to 44 years","Gini.ratio",0.487
"546","45 to 49 years","Gini.ratio",0.494
"547","50 to 54 years","Gini.ratio",0.508
"548","55 to 59 years","Gini.ratio",0.499
"549","60 to 64 years","Gini.ratio",0.518
"550","65 to 69 years","Gini.ratio",0.506
"551","70 to 74 years","Gini.ratio",0.499
"552","75 years and over","Gini.ratio",0.469
